,iteration,vote_uncertain_sampling,sampling_entropy,vote_disagreement,random_choice,SVC_poly,RandomForestClassifier,SVC_rbf,GaussianPC,GaussianNB,MLPClassifier
0,0,0.25,0.26785714285714285,0.2857142857142857,0.26785714285714285,0.19642857142857142,0.25,0.17857142857142858,0.21428571428571427,0.26785714285714285,0.32142857142857145
1,1,0.25,0.25,0.21428571428571427,0.26785714285714285,0.19642857142857142,0.2857142857142857,0.17857142857142858,0.17857142857142858,0.25,0.30357142857142855
2,2,0.25,0.2857142857142857,0.21428571428571427,0.2857142857142857,0.21428571428571427,0.2857142857142857,0.17857142857142858,0.125,0.25,0.3392857142857143
3,3,0.30357142857142855,0.2857142857142857,0.21428571428571427,0.30357142857142855,0.16071428571428573,0.3392857142857143,0.17857142857142858,0.19642857142857142,0.25,0.35714285714285715
4,4,0.30357142857142855,0.2857142857142857,0.21428571428571427,0.25,0.25,0.26785714285714285,0.17857142857142858,0.17857142857142858,0.30357142857142855,0.35714285714285715
5,5,0.2857142857142857,0.32142857142857145,0.21428571428571427,0.23214285714285715,0.25,0.3392857142857143,0.17857142857142858,0.17857142857142858,0.32142857142857145,0.3392857142857143
6,6,0.2857142857142857,0.3392857142857143,0.21428571428571427,0.23214285714285715,0.26785714285714285,0.32142857142857145,0.16071428571428573,0.17857142857142858,0.32142857142857145,0.35714285714285715
7,7,0.3392857142857143,0.375,0.21428571428571427,0.23214285714285715,0.26785714285714285,0.3392857142857143,0.16071428571428573,0.17857142857142858,0.30357142857142855,0.39285714285714285
8,8,0.3392857142857143,0.39285714285714285,0.25,0.23214285714285715,0.2857142857142857,0.4107142857142857,0.17857142857142858,0.23214285714285715,0.30357142857142855,0.4107142857142857
9,9,0.3392857142857143,0.375,0.25,0.26785714285714285,0.2857142857142857,0.4107142857142857,0.14285714285714285,0.23214285714285715,0.32142857142857145,0.42857142857142855
10,10,0.35714285714285715,0.375,0.26785714285714285,0.2857142857142857,0.32142857142857145,0.44642857142857145,0.14285714285714285,0.23214285714285715,0.35714285714285715,0.42857142857142855
11,11,0.35714285714285715,0.3392857142857143,0.25,0.2857142857142857,0.32142857142857145,0.42857142857142855,0.14285714285714285,0.23214285714285715,0.35714285714285715,0.42857142857142855
12,12,0.35714285714285715,0.39285714285714285,0.26785714285714285,0.2857142857142857,0.3392857142857143,0.44642857142857145,0.16071428571428573,0.23214285714285715,0.35714285714285715,0.44642857142857145
