,iteration,vote_uncertain_sampling,sampling_entropy,vote_disagreement,random_choice,SVC_poly,RandomForestClassifier,SVC_rbf,GaussianPC,GaussianNB,MLPClassifier
14,14,0.30357142857142855,0.30357142857142855,0.30357142857142855,0.30357142857142855,0.26785714285714285,0.3392857142857143,0.17857142857142858,0.19642857142857142,0.30357142857142855,0.375
15,15,0.30357142857142855,0.30357142857142855,0.30357142857142855,0.30357142857142855,0.25,0.30357142857142855,0.17857142857142858,0.14285714285714285,0.30357142857142855,0.375
16,16,0.3392857142857143,0.3392857142857143,0.3392857142857143,0.3392857142857143,0.26785714285714285,0.32142857142857145,0.17857142857142858,0.14285714285714285,0.3392857142857143,0.375
17,17,0.39285714285714285,0.39285714285714285,0.39285714285714285,0.39285714285714285,0.35714285714285715,0.35714285714285715,0.25,0.21428571428571427,0.375,0.4107142857142857
18,18,0.44642857142857145,0.44642857142857145,0.44642857142857145,0.44642857142857145,0.375,0.4107142857142857,0.30357142857142855,0.2857142857142857,0.42857142857142855,0.39285714285714285
19,19,0.39285714285714285,0.39285714285714285,0.39285714285714285,0.39285714285714285,0.35714285714285715,0.4107142857142857,0.2857142857142857,0.26785714285714285,0.4107142857142857,0.4107142857142857
20,20,0.4107142857142857,0.4107142857142857,0.4107142857142857,0.4107142857142857,0.35714285714285715,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.375,0.39285714285714285
21,21,0.39285714285714285,0.39285714285714285,0.39285714285714285,0.39285714285714285,0.35714285714285715,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.375,0.4642857142857143
22,22,0.4107142857142857,0.4107142857142857,0.4107142857142857,0.4107142857142857,0.35714285714285715,0.4107142857142857,0.2857142857142857,0.23214285714285715,0.39285714285714285,0.4642857142857143
23,23,0.39285714285714285,0.39285714285714285,0.39285714285714285,0.39285714285714285,0.375,0.44642857142857145,0.30357142857142855,0.23214285714285715,0.4107142857142857,0.44642857142857145
24,24,0.39285714285714285,0.39285714285714285,0.39285714285714285,0.39285714285714285,0.375,0.4107142857142857,0.30357142857142855,0.26785714285714285,0.4107142857142857,0.4642857142857143
25,25,0.4107142857142857,0.4107142857142857,0.4107142857142857,0.4107142857142857,0.375,0.39285714285714285,0.30357142857142855,0.26785714285714285,0.42857142857142855,0.44642857142857145
26,26,0.4107142857142857,0.4107142857142857,0.4107142857142857,0.4107142857142857,0.375,0.39285714285714285,0.30357142857142855,0.26785714285714285,0.42857142857142855,0.48214285714285715
27,27,0.4107142857142857,0.4107142857142857,0.4107142857142857,0.4107142857142857,0.375,0.4107142857142857,0.30357142857142855,0.26785714285714285,0.42857142857142855,0.4642857142857143
28,28,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.375,0.4107142857142857,0.32142857142857145,0.32142857142857145,0.44642857142857145,0.4642857142857143
29,29,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.375,0.42857142857142855,0.3392857142857143,0.3392857142857143,0.42857142857142855,0.48214285714285715
30,30,0.4642857142857143,0.4642857142857143,0.4642857142857143,0.4642857142857143,0.44642857142857145,0.44642857142857145,0.39285714285714285,0.3392857142857143,0.4642857142857143,0.5
31,31,0.4642857142857143,0.4642857142857143,0.4642857142857143,0.4642857142857143,0.4642857142857143,0.44642857142857145,0.42857142857142855,0.35714285714285715,0.44642857142857145,0.5
32,32,0.4642857142857143,0.4642857142857143,0.4642857142857143,0.4642857142857143,0.4642857142857143,0.4642857142857143,0.42857142857142855,0.35714285714285715,0.44642857142857145,0.5
33,33,0.4642857142857143,0.4642857142857143,0.4642857142857143,0.4642857142857143,0.42857142857142855,0.44642857142857145,0.39285714285714285,0.3392857142857143,0.44642857142857145,0.4642857142857143
34,34,0.4642857142857143,0.4642857142857143,0.4642857142857143,0.4642857142857143,0.42857142857142855,0.44642857142857145,0.39285714285714285,0.3392857142857143,0.42857142857142855,0.4642857142857143
35,35,0.44642857142857145,0.44642857142857145,0.44642857142857145,0.44642857142857145,0.42857142857142855,0.4107142857142857,0.39285714285714285,0.3392857142857143,0.42857142857142855,0.4642857142857143
36,36,0.44642857142857145,0.44642857142857145,0.44642857142857145,0.44642857142857145,0.4107142857142857,0.4107142857142857,0.375,0.3392857142857143,0.42857142857142855,0.44642857142857145
37,37,0.44642857142857145,0.44642857142857145,0.44642857142857145,0.44642857142857145,0.4107142857142857,0.4107142857142857,0.375,0.3392857142857143,0.42857142857142855,0.42857142857142855
