,Passive Learning,Active Learning,Difference
0,0.3392857142857143,0.35714285714285715,0.01785714285714285
1,0.3392857142857143,0.375,0.0357142857142857
2,0.35714285714285715,0.39285714285714285,0.0357142857142857
3,0.35714285714285715,0.3392857142857143,-0.01785714285714285
4,0.32142857142857145,0.35714285714285715,0.0357142857142857
5,0.35714285714285715,0.32142857142857145,-0.0357142857142857
6,0.3392857142857143,0.375,0.0357142857142857
7,0.35714285714285715,0.375,0.01785714285714285
8,0.375,0.375,0.0
9,0.3392857142857143,0.4107142857142857,0.0714285714285714
10,0.3392857142857143,0.4107142857142857,0.0714285714285714
11,0.375,0.39285714285714285,0.01785714285714285
12,0.35714285714285715,0.4107142857142857,0.05357142857142855
13,0.39285714285714285,0.4107142857142857,0.01785714285714285
14,0.4107142857142857,0.3392857142857143,-0.0714285714285714
15,0.35714285714285715,0.3392857142857143,-0.01785714285714285
16,0.375,0.39285714285714285,0.01785714285714285
17,0.4107142857142857,0.4107142857142857,0.0
18,0.375,0.39285714285714285,0.01785714285714285
19,0.39285714285714285,0.39285714285714285,0.0
20,0.42857142857142855,0.42857142857142855,0.0
21,0.375,0.4107142857142857,0.0357142857142857
22,0.375,0.42857142857142855,0.05357142857142855
23,0.4107142857142857,0.44642857142857145,0.035714285714285754
24,0.39285714285714285,0.375,-0.01785714285714285
25,0.39285714285714285,0.4107142857142857,0.01785714285714285
26,0.39285714285714285,0.4107142857142857,0.01785714285714285
27,0.39285714285714285,0.4107142857142857,0.01785714285714285
28,0.39285714285714285,0.4107142857142857,0.01785714285714285
29,0.4107142857142857,0.35714285714285715,-0.05357142857142855
30,0.42857142857142855,0.42857142857142855,0.0
31,0.44642857142857145,0.4107142857142857,-0.035714285714285754
32,0.4107142857142857,0.42857142857142855,0.01785714285714285
33,0.375,0.4642857142857143,0.0892857142857143
34,0.39285714285714285,0.4642857142857143,0.07142857142857145
35,0.39285714285714285,0.48214285714285715,0.0892857142857143
36,0.39285714285714285,0.4642857142857143,0.07142857142857145
37,0.35714285714285715,0.5,0.14285714285714285
38,0.4107142857142857,0.4107142857142857,0.0
39,0.4107142857142857,0.48214285714285715,0.07142857142857145
40,0.375,0.44642857142857145,0.07142857142857145
41,0.375,0.4642857142857143,0.0892857142857143
42,0.39285714285714285,0.4642857142857143,0.07142857142857145
43,0.44642857142857145,0.4642857142857143,0.01785714285714285
44,0.44642857142857145,0.44642857142857145,0.0
